0	0
1	0	0	1 0
1	1	1	1 0
1	2	2	1 0
1	3	3	1 0
1	4	4	1 0
1	5	5	1 0
1	6	6	1 0
1	7	7	1 0
1	8	8	1 0
1	9	9	1 0
1	10	10	1 0
1	11	11	1 0
1	12	12	1 0
1	13	13	1 0
1	14	14	1 0
1	15	15	1 0
1	16	16	1 0
1	17	17	1 0
1	18	18	1 0
1	19	19	1 0
1	20	20	1 0
1	21	21	1 0
1	22	22	1 0
1	23	23	1 0
1	24	24	1 0
1	25	25	1 0
1	26	26	1 0
1	27	27	1 0
1	28	28	1 0
1	29	29	1 0
1	30	30	1 0
1	31	31	1 0
1	32	32	1 0
1	33	33	1 0
2	14	32	33
1	14	33	0 2
2	13	0	1	2	3	33
1	13	33	0 2
2	9	2	33
1	9	33	0 2
2	32	2	8	14	15	18	20	22	23	29	30	31	33
1	32	33	1 2.92042
2	1	0	2	3	7	13	17	19	21	30
1	1	30	0 2
2	10	0	4	5
1	10	5	0 2
2	15	32	33
1	15	33	0 3.7301
2	26	29	33
1	26	29	0 2
2	29	23	26	32	33
1	29	33	0 2
2	7	0	1	2	3
1	7	3	0 2
2	23	25	27	29	32	33
1	23	33	1 4.11073
2	31	0	24	25	28	32	33
1	31	33	0 3.46021
2	0	1	2	3	4	5	6	7	8	10	11	12	13	17	19	21	31
1	0	5	1 3.46021
2	17	0	1
1	17	5	0 1.7301
2	12	0	3
1	12	3	0 2
2	25	23	24	31
1	25	24	0 2
2	24	25	27	31
1	24	27	0 0.269896
2	11	0
1	11	5	0 1.7301
2	30	1	8	32	33
1	30	33	0 1.7301
2	6	0	4	5	16
1	6	5	0 3.7301
2	28	2	31	33
1	28	2	0 2
2	22	32	33
1	22	33	0 3.46021
2	19	0	1	33
1	19	30	1 1.7301
2	20	32	33
1	20	33	0 3.46021
2	3	0	1	2	7	12	13
2	4	0	6	10
1	4	5	1 4.38062
2	8	0	2	30	32	33
1	8	33	0 3.46021
2	27	2	23	24	33
1	27	33	0 1.7301
2	18	32	33
1	18	33	0 3.46021
2	16	5	6
1	16	5	1 2.11073
2	21	0	1
1	21	30	1 1.46021
2	33	8	9	13	14	15	18	19	20	22	23	26	27	28	29	30	31	32
2	2	0	1	3	7	8	9	13	27	28	32
1	2	33	1 4.22145
2	5	0	6	10	16
0	2
2	32	2	8	14	15	18	20	22	23	29	30	31	33
2	21	0	1
2	33	8	9	13	14	15	18	19	20	22	23	26	27	28	29	30	31	32
2	31	0	24	25	28	32	33
2	6	0	4	5	16
2	27	2	23	24	33
2	3	0	1	2	7	12	13
2	20	32	33
2	1	0	2	3	7	13	17	19	21	30
2	4	0	6	10
2	11	0
2	10	0	4	5
2	19	0	1	33
2	9	2	33
2	16	5	6
2	23	25	27	29	32	33
2	25	23	24	31
1	25	27	1 1.46021
2	7	0	1	2	3
2	0	1	2	3	4	5	6	7	8	10	11	12	13	17	19	21	31
2	17	0	1
1	17	30	1 1.11022e-16
2	14	32	33
2	30	1	8	32	33
2	22	32	33
2	15	32	33
2	13	0	1	2	3	33
2	12	0	3
2	5	0	6	10	16
2	24	25	27	31
2	28	2	31	33
1	28	33	0 2.92042
2	2	0	1	3	7	8	9	13	27	28	32
2	29	23	26	32	33
2	8	0	2	30	32	33
2	18	32	33
2	26	29	33
1	26	33	0 0.920415
0	3
2	19	0	1	33
2	32	2	8	14	15	18	20	22	23	29	30	31	33
2	6	0	4	5	16
2	22	32	33
2	5	0	6	10	16
2	13	0	1	2	3	33
2	28	2	31	33
2	16	5	6
2	11	0
2	29	23	26	32	33
2	20	32	33
2	4	0	6	10
2	31	0	24	25	28	32	33
1	31	27	1 0.269896
2	1	0	2	3	7	13	17	19	21	30
2	8	0	2	30	32	33
2	30	1	8	32	33
2	10	0	4	5
2	33	8	9	13	14	15	18	19	20	22	23	26	27	28	29	30	31	32
2	3	0	1	2	7	12	13
2	12	0	3
2	27	2	23	24	33
2	7	0	1	2	3
2	14	32	33
2	21	0	1
2	15	32	33
2	24	25	27	31
2	23	25	27	29	32	33
2	26	29	33
2	9	2	33
2	2	0	1	3	7	8	9	13	27	28	32
2	25	23	24	31
2	0	1	2	3	4	5	6	7	8	10	11	12	13	17	19	21	31
2	18	32	33
2	17	0	1
0	4
2	25	23	24	31
2	18	32	33
2	8	0	2	30	32	33
2	10	0	4	5
2	11	0
2	6	0	4	5	16
2	14	32	33
2	4	0	6	10
2	3	0	1	2	7	12	13
2	2	0	1	3	7	8	9	13	27	28	32
2	32	2	8	14	15	18	20	22	23	29	30	31	33
2	19	0	1	33
2	16	5	6
2	7	0	1	2	3
2	26	29	33
2	33	8	9	13	14	15	18	19	20	22	23	26	27	28	29	30	31	32
2	17	0	1
2	27	2	23	24	33
2	5	0	6	10	16
2	29	23	26	32	33
2	31	0	24	25	28	32	33
2	20	32	33
2	22	32	33
2	0	1	2	3	4	5	6	7	8	10	11	12	13	17	19	21	31
2	13	0	1	2	3	33
2	21	0	1
2	28	2	31	33
2	1	0	2	3	7	13	17	19	21	30
2	30	1	8	32	33
2	23	25	27	29	32	33
2	24	25	27	31
2	15	32	33
2	9	2	33
2	12	0	3
0	5
